node_id,legacy_id,layer,workstream,kind,formal_state,physics_role,module,declaration,statement,assumptions,dependencies,proof_strategy,mathlib_support,mathlib_gap,effort,risk,gate,stop_condition,notes
DEF-011,,3,SpectralGap,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Ergodic.SpectralGap,HasL2Contraction,A certificate that a Markov operator contracts the mean-zero L2 subspace by q<1.,Invariant probability law,REF-003,Use contraction rather than ambiguous gap conventions.,L2 finite functions; inner product,none,M,medium,G3,Definition becomes tied to reversibility unnecessarily.,Keep nonreversible absolute contraction separate from Poincare gap.
HOL-001,NS30,1,InternalHolonomy,THEOREM,READY_TO_PROVE,INTERPRETATION,PhysicsSM.NullStrand.Clock.InternalHolonomy,internalHolonomy_concat,Discrete path-ordered internal holonomy composes under path concatenation.,Finite path and ordered product,AUD-002,List/Fin ordered-product associativity.,Matrix multiplication; Fin products,none,S,low,G1,Product order convention is reversed.,
HOL-002,NS31,1,InternalHolonomy,THEOREM,READY_TO_PROVE,INTERPRETATION,PhysicsSM.NullStrand.Clock.InternalHolonomy,internalHolonomy_unitary_of_hermitian,Each finite holonomy factor and their ordered product are unitary when the mass/Yukawa generator is Hermitian.,Hermitian finite matrices; real step sizes,HOL-001,Use unitary matrix exponential and closure under products.,Matrix exponential; unitary matrices,exact matrix exponential theorem names,M,medium,G1,Mathlib API does not expose the needed unitary exponential wrapper.,An algebraic Cayley-step discretization is a fallback.
HOL-003,,2,InternalHolonomy,THEOREM,STATEMENT_DESIGNED,INTERPRETATION,PhysicsSM.NullStrand.Clock.InternalHolonomy,internalHolonomy_gaugeCovariant,Endpoint gauge transformations conjugate the path-ordered internal holonomy.,Gauge field and mass matrix transform compatibly,HOL-001,Telescoping cancellation across factors.,Matrix groups,none,M,medium,G2,The gauge action on Yukawa blocks is underspecified.,The theorem charter must name the representation spaces explicitly.
HOL-004,,4,OperationalClock,CONJECTURE,BLOCKED_ON_MODEL,INTERPRETATION,PhysicsSM.NullStrand.Clock.Operational,internalHolonomy_controls_recordedClock,A gauge-invariant relative holonomy controls an actual clock record or transition statistic.,A concrete readout coupling,HOL-002;HOL-003,No proof plan until the physical coupling is specified.,Finite quantum channels may suffice,missing physical theorem,XL,high,G4,Holonomy remains passive surplus structure.,Do not promote “phase beable is a clock” before this node is replaced by a precise theorem.
ENT-001,,1,Entanglement,DEFINITION,STATEMENT_DESIGNED,KINEMATIC,PhysicsSM.NullStrand.Entanglement.DirectionProjector,pureDirectionProjector,A unit Bloch direction maps to the corresponding rank-one qubit projector.,Unit vector in R3,AUD-002,Reuse banked spin-coherent projector theorem.,Matrix 2x2; PSD,existing module wrapper,S,low,G1,Normalization 1/2 is inconsistent.,
ENT-002,NS32,1,Entanglement,THEOREM,READY_TO_PROVE,NO_GO,PhysicsSM.NullStrand.Entanglement.ProductNullRepresentation,productDirectionMixture_isSeparable,Any finite positive mixture of product direction projectors is separable.,Finite convex combination,ENT-001,Unfold the project definition of separability.,Tensor products; convex combinations,quantum-state API may be custom,M,low,G1,The chosen separability definition is too weak or circular.,Begin with an explicitly finite convex-hull definition.
ENT-003,NS32,2,Entanglement,THEOREM,STATEMENT_DESIGNED,NO_GO,PhysicsSM.NullStrand.Entanglement.ProductNullRepresentation,separableQubitState_has_productDirectionMixture,Every finitely separable multi-qubit state has a finite product-direction representation.,Separability defined using pure product qubit states,ENT-001;ENT-002,Represent each pure qubit ray by a Bloch direction.,Qubit pure-state/Bloch equivalence,pure-state parametrization glue,M,medium,G2,Separable decomposition includes mixed local factors.,Either refine the definition or first prove a local spectral decomposition theorem.
ENT-004,NS33,2,Entanglement,NO_GO,READY_AFTER_DEPS,NO_GO,PhysicsSM.NullStrand.Entanglement.SeparabilityObstruction,entangledState_has_no_localPositiveProductNullRepresentation,An entangled state has no positive local product-null representation.,ENT-002; standard definition of entangled,ENT-002,Contrapositive of ENT-002.,Logic only,none,XS,low,G2,None.,
DEF-012,,2,Synchronization,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Synchronization.HiddenRule,HiddenTransportRule,"A named rule assigning hidden-state kernels to quantum states and local updates, with equivariance and covariance contracts.",Finite hidden state for the pilot,DEF-006,"Package rule, target equilibrium, and proof obligations.",FiniteKernel,none,M,medium,G2,The rule is so general that every theorem is tautological.,"Create concrete substructures: redraw, least-action, Bell-minimal."
SYNC-001,NS34,2,Synchronization,DEFINITION,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.Synchronization.DiamondDefect,synchronizationDiamondDefect,Difference between the two hidden kernels around a spacelike update diamond.,DEF-012; commuting quantum updates,DEF-012,Define two kernel compositions with state-updated rule arguments.,Finite kernel composition,none,S,low,G2,State-update convention is ambiguous.,Store intermediate quantum states explicitly in the definition.
SYNC-002,NS34,2,Synchronization,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.Synchronization.DiamondDefect,defect_eq_zero_iff_orderIndependent,The defect vanishes exactly when the two hidden transports agree extensionally.,SYNC-001,SYNC-001,Definition unfolding and kernel extensionality.,PMF extensionality,none,S,low,G2,None.,
SYNC-003,,2,Synchronization,THEOREM,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Synchronization.FlatConnection,flat_on_diamonds_implies_pathIndependent,"On a finite simply connected cut complex, zero diamond defect implies path-independent hidden transport.",A presentation of paths by elementary diamond swaps,SYNC-002,Induction over path homotopies / rewriting system.,Finite category or rewriting,cut-complex/path-homotopy infrastructure,L,high,G3,Diamond moves do not generate all path equivalences.,This is the correct finite analogue of flat synchronization curvature.
SYNC-004,,2,SynchronizationPilot,COMPUTATION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Synchronization.BellPairPilot,bellPair_redrawRule_defect,Compute the synchronization defect for a Bell pair under a final-state redraw rule.,Explicit Bell state and commuting local gates,SYNC-001,Use finite exact matrices and native_decide/norm_num where possible.,Matrix 4x4; finite PMFs,concrete rule design,M,medium,G2,The redraw rule is trivially flat and therefore uninformative.,"This is a sanity baseline, not the decisive pilot."
SYNC-005,NS35,2,SynchronizationPilot,COMPUTATION,BLOCKED_ON_MODEL,DYNAMICS,PhysicsSM.NullStrand.Synchronization.BellPairPilot,bellPair_leastActionRule_defect,Compute the Bell-pair defect for a specified least-action or minimal-transport hidden rule.,"Concrete hidden state, cost, tie-breaker, and local gates",LA-003;SYNC-001,Enumerate exact rational/algebraic kernels; compare compositions.,Finite optimization; exact matrices,rule/tie-breaker not yet fixed,L,high,G3,Different admissible rules give different curvature.,"The result tests a rule, not entanglement in the abstract."
SYNC-006,NS36,3,Synchronization,CONJECTURE,DO_NOT_STATE_AS_THEOREM,NO_GO,PhysicsSM.NullStrand.Synchronization.Curvature,entanglement_forces_curvature_under_axioms,"Under explicit locality, positivity, covariance, and regularity axioms, entanglement forces nonflat hidden transport.",Axioms not yet identified,ENT-004;SYNC-003,First search for counterexamples among positive nonlocal flat rules.,No established library issue,missing correct theorem,XL,very high,G4,A positive flat nonlocal rule is exhibited.,Replace the old unconditional iff conjecture with a quantified theorem-search program.
BELL-001,NS37,2,BellQFT,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.BellQFT.FiniteCurrent,quantumCurrent_antisymm,"For self-adjoint H and orthogonal configuration projectors, the finite Bell current is antisymmetric.",Finite-dimensional complex Hilbert space,DEF-007,Conjugate symmetry and self-adjointness.,Matrix adjoint; Complex.im,none,M,low,G2,Projector multiplication/order conventions are wrong.,Start with coordinate projectors on a finite basis; abstract Hilbert version later.
BELL-002,,2,BellQFT,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.BellQFT.FiniteCurrent,zeroBornWeight_implies_noOutgoingCurrent,"If a configuration has zero Born weight, all current terms sourced there vanish.",Positive semidefinite rank-one state density,BELL-001,Zero norm of projected state implies projected vector is zero.,Inner-product norm,none,S,low,G2,"Born weight is represented only as a real part, obscuring norm zero.",This is the denominator-safety lemma for minimal Bell rates.
BELL-003,NS38,2,BellQFT,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.BellQFT.MinimalRates,minimalBellRates_masterEquation,Positive-part Bell rates reproduce the finite quantum continuity equation.,BELL-001; BELL-002,BELL-001;BELL-002,Pair antisymmetric currents and cancel positive/negative parts.,Finite sums,none,M,low,G2,Factor 2/hbar convention mismatch.,
BELL-004,NS40,2,BellQFT,THEOREM,READY_TO_PROVE,DYNAMICS,PhysicsSM.NullStrand.BellQFT.Support,operatorBlockZero_implies_rateZero,If Pq H Pq_prime=0 then the Bell current and minimal rate between q and q_prime vanish.,BELL-001,BELL-001,Substitute zero block into current; positive part of zero.,Matrix algebra,none,S,low,G2,None.,
BELL-005,NS39,2,BellQFT,CONDITIONAL_THEOREM,STATEMENT_DESIGNED,EQUIVARIANCE,PhysicsSM.NullStrand.BellQFT.FockCutoff,finiteFockNullLift_forwardEquation,A finite Fock-sector Bell generator plus destination direction laws preserves the extended Born law.,Finite sector cutoff; BELL-003; LIFT-003,BELL-003;LIFT-003,Treat sector change as a base jump and apply the generic lift.,Finite sums; Sum types,none,L,medium,G3,Creation direction laws are not measurable/normalized in the chosen API.,Forward equation only; actual continuous-time path existence is separate.
BELL-006,,3,BellQFTPath,LIBRARY_PROJECT,BLOCKED_ON_LIBRARY,ONTOLOGY,PhysicsSM.NullStrand.BellQFT.PathConstruction,finiteBoundedBellJumpProcess_exists,A bounded finite time-dependent Bell generator determines a nonexplosive càdlàg jump process.,Bounded measurable rates,BELL-003,"Construct exponential waiting times and embedded jump chain, or import a future CTMC API.",Exponential distribution; Ionescu-Tulcea,no turnkey CTMC construction identified,XL,high,G3,Path construction becomes a standalone probability formalization.,Not needed for the discrete-time Gate G1 model.
DEF-013,,2,GraphOperator,DEFINITION,STATEMENT_DESIGNED,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.NullContinuation,IsPrimitiveNullContinuation,"A relation classifying allowed propagation, local internal flips, and local creation/annihilation events.",Concrete finite graph/configuration type,AUD-002,Separate propagation edges from same-vertex internal events in an inductive predicate.,Finite relations,none,M,medium,G2,The relation labels local flips as “null motion” ambiguously.,The ontology claim should say spacetime-changing continuations are null; internal events have zero displacement.
GRAPH-001,NS40,2,GraphOperator,THEOREM,READY_TO_PROVE,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.BellSupport,operatorSupport_implies_bellCurrentSupport,Operator block support on primitive continuations implies Bell current/rate support on those continuations.,DEF-013; BELL-004,DEF-013;BELL-004,Direct support transfer.,Matrix support,none,S,low,G2,None; intentionally simple.,
GRAPH-002,,2,GraphOperator,THEOREM,READY_TO_PROVE,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.Support,support_square_subset_relComp,The support of D^2 is contained in the two-step relational closure of the support of D.,Finite matrix D supported on relation R,DEF-013,Expand matrix multiplication and witness an intermediate state.,Matrix mul_apply; Finset,none,S,low,G2,"Cancellation can make support smaller, never larger.",This corrects the misconception that a local first-order operator has a nearest-neighbor square.
GRAPH-003,,2,LayeredWalkOperator,THEOREM,STATEMENT_DESIGNED,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.LayeredWalk,checkerboardOperator_supportedOnNullContinuations,The concrete 1+1 checkerboard first-order step operator has exactly null propagation support plus local coin mixing.,ZZ-006; concrete operator decomposition,ZZ-006;DEF-013,Inspect matrix blocks for shift and coin factors.,Finite matrices,none,M,medium,G2,One-step unitary mixes coin and shift so block support is misclassified.,This is the first non-tautological operator-support instance.
GRAPH-004,NS41,4,SuperDiracSymbol,CONJECTURE,BLOCKED_ON_MODEL,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.Symbol,superDirac_commutator_eq_localNullSlash,The graph super-Dirac commutator with scalar multiplication has local symbol equal to a weighted null slash.,"Concrete order-complex operator, edge spinors, soldering map",AUD-002;DEF-013,"Construct D first; compute [D,Mf]; identify coefficients with edge momenta.",Cochains; matrices; banked Dirac slash,missing concrete operator/soldering theorem,XL,very high,G4,No natural coefficient map produces the null slash.,This is the central interpretation-to-theory gate.
GRAPH-005,NS42,4,SuperDiracSymbol,CONDITIONAL_THEOREM,BLOCKED_ON_MODEL,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.Symbol,localNullSymbol_sq_eq_weightedPluckerMass,The squared local null symbol equals the weighted Pluecker mass scalar.,GRAPH-004; banked bundle Dirac-Pluecker theorem,GRAPH-004;AUD-002,Compose the symbol identification with the static square-root theorem.,Existing Pluecker/Dirac modules,none after GRAPH-004,S,high,G4,Weights or momentum aggregation differ from the banked theorem.,
GRAPH-006,NS43,4,SuperDirac,CONJECTURE,BLOCKED_ON_MODEL,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.SuperDirac,superDirac_supportedOnPrimitiveContinuations,The concrete causal super-Dirac operator has only null propagation and local internal-event support.,Concrete D_total,DEF-013;GRAPH-004,"Inspect each block: covariant differential, codifferential, Higgs/Yukawa.",Finite matrices; cochains,operator not yet fixed,L,very high,G4,Covariant codifferential or effective causal-set term is nonlocal.,A failure here means the graph theory no longer has strictly null primitive spacetime continuations.
GRAPH-007,,3,SuperDirac,CONDITIONAL_THEOREM,REPORTED_EXISTING,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.SuperDirac,superDirac_sq_decomposition,"The abstract block square decomposes into Laplacian, curvature/cross, and Higgs/Yukawa blocks.",Banked draft modules; convention audit,AUD-002,Audit and wrap existing algebra; no new physics claim.,Matrix block algebra,semantic review,M,medium,G3,Existing theorem double-counts kinetic and Yukawa mass.,On-shell equality is a constraint; determinant and Phi†Phi are not additive mass terms.
GRAPH-008,NS44,5,CausalSetAudit,AUDIT,STATEMENT_DESIGNED,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.LocalityAudit,causalOperator_propertyMatrix,"Each candidate operator is classified by null support, intrinsic locality, retardedness, covariance in law, stability, and continuum convergence.",Concrete candidate definitions,GRAPH-002,Formalize properties separately; do not assume a blanket no-go.,Finite relations; asymptotic statements later,continuum convergence formalization,L,high,G5,The property vocabulary cannot compare regular graphs and causal sets coherently.,"Current literature includes both established nonlocal operators and a recent local proposal, so this must remain an audit."
DEF-014,,4,NullDilation,DEFINITION,STATEMENT_DESIGNED,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.NullDilation,NullLocalDilation,An enlarged hidden-state first-order operator with null support whose projected square realizes an effective operator.,Finite effective operator L,GRAPH-002,"Define embed, project, lifted D, support, and realization equation.",Linear maps; matrices,none finite,M,medium,G4,The realization equation is too weak and admits trivial encodings.,"Add dimensional, locality, covariance, and naturality constraints before interpreting a positive result."
GRAPH-009,,5,NullDilation,CONJECTURE,BLOCKED_ON_MODEL,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Graph.NullDilation,continuumCorrectBox_has_naturalNullDilation,A selected continuum-correct causal operator admits a natural covariant null-local dilation.,A concrete causal-set box and naturality axioms,DEF-014;GRAPH-008,Search finite truncations first; formulate either construction or no-go.,No ready library path,missing correct theorem,XL,very high,G5,Only artificial state-space blowups satisfy the definition.,This is a sharper open question than “local lattice versus nonlocal causal set”.
DEF-015,,3,ContinuumAnalysis,DEFINITION,STATEMENT_DESIGNED,DYNAMICS,PhysicsSM.NullStrand.Continuum.SpectralCertificate,HasSpectralGap,A named L2/Poincare or semigroup-contraction certificate with explicit invariant measure and constant.,A closed generator/Markov semigroup,DEF-011,"Separate reversible Poincare gap, absolute contraction, and time-dependent mixing.",InnerProductSpace; semigroups if available,general Markov semigroup API,L,high,G3,One definition is stretched across incompatible settings.,Use multiple structures rather than one overloaded “gap”.
CONT-001,,3,ContinuumLeastAction,CONDITIONAL_THEOREM,READY_TO_PROVE_ABSTRACT,DYNAMICS,PhysicsSM.NullStrand.Continuum.AbstractPoisson,coerciveWeightedPoisson_exists_unique,"In an abstract Hilbert space, a bounded coercive bilinear form has a unique weak solution.",Complete real inner-product space; coercive form,AUD-001,Wrap mathlib Lax-Milgram with the project’s source/zero-mean notation.,Analysis.InnerProductSpace.LaxMilgram,none abstractly,M,low,G3,The wrapper accidentally claims a sphere PDE instance.,This can be completed now and cleanly separates library theorem from geometric instantiation.
CONT-002,,4,ContinuumLeastAction,LIBRARY_PROJECT,BLOCKED_ON_LIBRARY,DYNAMICS,PhysicsSM.NullStrand.Continuum.SpherePoisson,sphereWeightedPoisson_exists_unique,The weighted angular Poisson problem on S^2 has a unique zero-mean weak solution under uniform positive bounds.,Sobolev space on sphere; Poincare inequality; bounded weight,CONT-001;MEA-001,Instantiate Lax-Milgram on a quotient/zero-mean Sobolev space.,Lax-Milgram; manifold/sphere API,Sobolev-on-manifold and weak gradient infrastructure,XL,very high,G4,Required analysis is absent or too costly for the physics payoff.,Finite graph least action remains the certified substitute.
CONT-003,NS27,4,SphereDiffusion,CONDITIONAL_THEOREM,BLOCKED_ON_MODEL,DYNAMICS,PhysicsSM.NullStrand.Continuum.SphereDiffusion,restSphere_directionCorrelation_eq_exp,"For homogeneous rotational diffusion on S^2, l=1 direction correlation decays as exp(-2Ds).",A constructed sphere diffusion semigroup and coordinate eigenfunction theorem,DEF-015,"Prove coordinate functions are eigenfunctions of the generator, then semigroup action.",Sphere Laplacian; semigroup,sphere diffusion/Laplacian API,XL,very high,G4,No formal diffusion process or generator exists in the project.,Do not name the theorem “Compton locked” until D=alpha m is separately assumed or derived.
CONT-004,NS27,4,SphereDiffusion,CONJECTURE,DO_NOT_STATE_AS_THEOREM,DYNAMICS,PhysicsSM.NullStrand.Continuum.SphereDiffusion,massOperator_derives_directionMixingScale,The Dirac/Yukawa mass operator fixes the angular mixing scale D=alpha m with a derived alpha.,A microscopic operator coupling hidden direction to chirality,GRAPH-004;CONT-003,Derive generator from operator rather than postulate it.,No existing formal route,missing physical theorem,XL,very high,G5,Alpha remains arbitrary or state-dependent.,This is the real mass-as-dynamics claim.
CONT-005,,4,ContinuumProcess,CONDITIONAL_THEOREM,BLOCKED_ON_LIBRARY,ONTOLOGY,PhysicsSM.NullStrand.Continuum.Process,angularProcess_exists_nonexplosive,The state-dependent sphere process exists globally and is nonexplosive away from named singular sets.,"Regularity, ellipticity, bounded coefficients, node avoidance",CONT-002;DEF-015,Use SDE/martingale-problem theory after infrastructure exists.,Brownian motion basics only,manifold SDE and nonexplosion infrastructure,XL,very high,G4,The assumptions exclude physically important nodes/massless limits.,State the excluded set and stopping-time version explicitly.
MASTER-001,NS45,1,MasterFiniteIID,THEOREM,READY_AFTER_DEPS,ONTOLOGY,PhysicsSM.NullStrand.Master.FiniteIID,finiteIIDNullStrand_master,"There exists a finite model whose every primitive increment is null, whose position law is exactly specified, and whose single realized coarse velocity converges almost surely to a prescribed timelike U.",Finite null resolution and iid sampling,KIN-004;TRAJ-001;ERG-002,"Package octahedral resolution, product trajectory law, nullity, and strong law.",PMF; Ionescu-Tulcea or product measure; StrongLaw,none,M,low,G1,The model is only kinematic and is mislabeled as Bohm-Bell dynamics.,Call it the finite IID null-strand model; it establishes the ontology/coarse-graining possibility cleanly.
MASTER-002,,1,MasterCheckerboard,THEOREM,READY_AFTER_DEPS,ONTOLOGY,PhysicsSM.NullStrand.Master.Checkerboard,checkerboardBohmBell_master,"The 1+1 lattice model has unitary wave evolution, exact Born equivariance, an actual trajectory, and null motion at every tick.",Banked checkerboard dynamics; ZZ-006 through ZZ-009; trajectory measure,ZZ-006;ZZ-007;ZZ-008;ZZ-009;TRAJ-001,Package the exact discrete model.,Finite kernels; checkerboard modules,none,M,medium,G1,Infinite trajectory construction is omitted.,This is the first genuinely pilot-wave/Bohmian capstone.
MASTER-003,,2,MasterFiniteLift,CONDITIONAL_THEOREM,READY_AFTER_DEPS,ONTOLOGY,PhysicsSM.NullStrand.Master.FiniteLift,finiteEquivariantNullLift_master,Any finite causal base process with a chosen null resolution admits an exact equivariant hidden null-direction lift.,Base forward equation; positive finite resolutions; residual compatibility,LIFT-003;TRAJ-001,Package the generic lift and marginal theorem; pathwise mixing remains separate.,Finite generators/kernels,continuous-time path if claimed,L,medium,G2,The theorem is presented as a unique dynamics rather than an unravelling family.,State nonuniqueness explicitly in the theorem commentary.
MASTER-004,NS46,4,MasterOneParticleContinuum,CONDITIONAL_THEOREM,BLOCKED_ON_LIBRARY,ONTOLOGY,PhysicsSM.NullStrand.Master.OneParticleContinuum,oneParticleCovariantNullStrand_master,"A covariant one-particle continuum process has null sample paths, the correct flux/Born marginal, and a pathwise timelike coarse limit.",MEA-003; MEA-006; CONT-005; a spectral/mixing certificate,MEA-003;MEA-006;CONT-005;DEF-015,"Assemble measure, process existence, equivariance, and ergodic theorem.",Measure theory; stochastic processes,multiple major gaps,XL,very high,G4,Any hypothesis simply assumes the desired process or mixing.,Keep this theorem conditional with every analytic assumption visible.
MASTER-005,NS46,4,MasterFoliatedManyBody,CONDITIONAL_THEOREM,BLOCKED_ON_MODEL,ONTOLOGY,PhysicsSM.NullStrand.Master.FoliatedManyParticle,foliatedManyParticleNullStrand_master,"Given hypersurface continuity, conditional-current resolutions, jump-process existence, and mixing, the many-particle foliated theory is equivariant with null spacetime-changing tangents.",Explicit foliation; multi-time wavefunction; analytic certificates,BELL-005;ENT-004;DEF-015,Build only after the finite Fock model and synchronization framework are stable.,No turnkey multi-time Dirac/QFT infrastructure,major physics and analysis gaps,XL,very high,G4,The theorem hides the foliation as an “assumption” without specifying its covariance law.,A fixed or state-generated foliation must be a named input structure.
MASTER-006,NS47,5,MasterGraphDerived,CONDITIONAL_THEOREM,BLOCKED_ON_MODEL,NEW_PHYSICS_GATE,PhysicsSM.NullStrand.Master.GraphDerived,causalSuperDirac_master,"A concrete first-order graph operator with null support, correct square, and controlled scaling induces null-supported Bell histories and the desired continuum observables.",GRAPH-004 through GRAPH-009 plus Bell current machinery,GRAPH-004;GRAPH-005;GRAPH-006;GRAPH-007;GRAPH-008;BELL-003,Assemble only after one concrete operator passes every audit.,Finite operator algebra plus external scaling theory,central open research gate,XL,very high,G5,"The operator cannot satisfy support, covariance, and continuum correctness simultaneously.",Only this gate upgrades the program from an interpretation/unravelling to candidate new dynamics.
